transaction_id,customer_id,merchant_id,merchant_name,merchant_category,amount,timestamp,currency,channel,city,is_international
TXN-045690,C-0037,M-0121,SuperSave #121,Grocery,606.93,2024-01-01T10:33:41,CAD,ATM,Halifax,False
TXN-035074,C-0427,M-0195,Golden Wok #195,Restaurant,38.21,2024-01-01T10:34:00,CAD,POS,Winnipeg,False
TXN-018334,C-0024,M-0001,BookTrip #1,Travel,415.43,2024-01-01T10:34:32,CAD,ATM,Winnipeg,False
TXN-000711,C-0035,M-0092,WaterWorks #92,Utilities,331.28,2024-01-01T10:38:56,CAD,POS,Vancouver,False
TXN-025286,C-0226,M-0050,HealthPlus #50,Healthcare,405.78,2024-01-01T10:39:18,CAD,POS,Toronto,False
TXN-009233,C-0172,M-0198,WellClinic #198,Healthcare,411.18,2024-01-01T10:39:29,CAD,online,Ottawa,False
TXN-029149,C-0184,M-0177,WanderLux #177,Travel,808.67,2024-01-01T10:40:08,CAD,POS,Quebec City,False
TXN-031444,C-0189,M-0032,DigiMart #32,Electronics,345.69,2024-01-01T10:41:41,CAD,POS,Quebec City,False
TXN-018565,C-0105,M-0012,CircuitHub #12,Electronics,387.18,2024-01-01T10:42:04,USD,online,Dubai,True
TXN-017039,C-0320,M-0105,FoodLand #105,Grocery,254.09,2024-01-01T10:43:10,CAD,online,Edmonton,False
TXN-005301,C-0242,M-0123,eStore #123,Online Shopping,369.36,2024-01-01T10:43:17,CAD,online,Quebec City,False
TXN-048926,C-0141,M-0096,PharmaSave #96,Healthcare,247.71,2024-01-01T10:47:28,USD,online,Paris,True
TXN-039504,C-0423,M-0131,EnergyStop #131,Gas Station,188.04,2024-01-01T10:48:26,CAD,online,Ottawa,False
TXN-009938,C-0058,M-0030,TechByte #30,Electronics,284.74,2024-01-01T10:54:34,CAD,POS,Hamilton,False
TXN-042342,C-0311,M-0045,ClickBuy #45,Online Shopping,337.64,2024-01-01T10:54:42,CAD,POS,Toronto,False
TXN-023599,C-0405,M-0193,WebMart #193,Online Shopping,456.55,2024-01-01T10:57:24,CAD,POS,Calgary,False
TXN-007550,C-0482,M-0180,StyleHub #180,Clothing,132.53,2024-01-01T10:58:18,CAD,POS,Toronto,False
TXN-043169,C-0052,M-0098,ChicBoutique #98,Clothing,212.49,2024-01-01T11:01:26,CAD,online,Winnipeg,False
TXN-010305,C-0142,M-0153,NetShop #153,Online Shopping,301.07,2024-01-01T11:01:29,CAD,online,Montreal,False
TXN-016119,C-0180,M-0033,TechByte #33,Electronics,336.26,2024-01-01T11:06:32,CAD,POS,Edmonton,False
TXN-009991,C-0212,M-0036,JetSet #36,Travel,398.55,2024-01-01T11:09:00,CAD,online,Halifax,False
TXN-045156,C-0346,M-0025,GreenGrocer #25,Grocery,363.2,2024-01-01T11:11:02,CAD,online,Quebec City,False
TXN-045436,C-0110,M-0060,HealthPlus #60,Healthcare,423.7,2024-01-01T11:12:25,CAD,POS,Halifax,False
TXN-047633,C-0093,M-0195,Golden Wok #195,Restaurant,249.3,2024-01-01T11:15:02,CAD,online,Hamilton,False
TXN-041915,C-0371,M-0062,FlyAway #62,Travel,363.89,2024-01-01T11:18:23,CAD,POS,Vancouver,False
TXN-002526,C-0040,M-0066,GreenGrocer #66,Grocery,240.8,2024-01-01T11:20:47,CAD,online,Calgary,False
TXN-012813,C-0299,M-0150,WellClinic #150,Healthcare,82.59,2024-01-01T11:20:49,CAD,POS,Vancouver,False
TXN-009143,C-0102,M-0124,Burger Hub #124,Restaurant,275.53,2024-01-01T11:21:32,CAD,online,Toronto,False
TXN-018628,C-0155,M-0179,ClickBuy #179,Online Shopping,338.86,2024-01-01T11:23:44,CAD,POS,Halifax,False
TXN-002405,C-0349,M-0175,TelcoNet #175,Utilities,249.32,2024-01-01T11:28:14,CAD,POS,Winnipeg,False
TXN-006885,C-0215,M-0015,Metro Plus #15,Grocery,411.98,2024-01-01T11:29:40,CAD,online,Edmonton,False
TXN-033155,C-0007,M-0163,Sushi Zen #163,Restaurant,205.29,2024-01-01T11:30:36,CAD,ATM,Montreal,False
TXN-046679,C-0330,M-0089,ClickBuy #89,Online Shopping,311.5,2024-01-01T11:31:06,CAD,POS,Halifax,False
TXN-028132,C-0273,M-0081,WaterWorks #81,Utilities,399.08,2024-01-01T11:32:19,CAD,POS,Winnipeg,False
TXN-033167,C-0313,M-0155,GadgetWorld #155,Electronics,554.22,2024-01-01T11:33:32,CAD,online,Calgary,False
TXN-002114,C-0314,M-0023,PharmaSave #23,Healthcare,452.04,2024-01-01T11:33:33,CAD,ATM,Halifax,False
TXN-025028,C-0378,M-0169,FlyAway #169,Travel,0.5,2024-01-01T11:33:36,CAD,online,Halifax,False
TXN-040363,C-0010,M-0036,JetSet #36,Travel,106.66,2024-01-01T11:33:38,CAD,POS,Vancouver,False
TXN-014186,C-0238,M-0118,GadgetWorld #118,Electronics,142.24,2024-01-01T11:33:42,CAD,online,Montreal,False
TXN-047217,C-0422,M-0115,HydroPower #115,Utilities,369.03,2024-01-01T11:35:04,CAD,ATM,Edmonton,False
TXN-007027,C-0374,M-0159,PetroGo #159,Gas Station,172.54,2024-01-01T11:35:13,CAD,POS,Vancouver,False
TXN-019130,C-0205,M-0006,FlyAway #6,Travel,312.48,2024-01-01T11:35:29,CAD,POS,Halifax,False
TXN-010404,C-0242,M-0130,ElectroZone #130,Electronics,418.57,2024-01-01T11:37:17,CAD,POS,Calgary,False
TXN-014025,C-0017,M-0156,SuperSave #156,Grocery,675.36,2024-01-01T11:37:58,CAD,online,Winnipeg,False
TXN-048731,C-0350,M-0022,FreshMart #22,Grocery,513.18,2024-01-01T11:39:11,USD,online,Berlin,True
TXN-010012,C-0428,M-0154,StreamFlix #154,Entertainment,290.08,2024-01-01T11:41:11,CAD,POS,Winnipeg,False
TXN-036221,C-0422,M-0156,SuperSave #156,Grocery,487.34,2024-01-01T11:42:24,CAD,online,Toronto,False
TXN-029851,C-0022,M-0049,FashionFit #49,Clothing,56.93,2024-01-01T11:42:35,CAD,ATM,Halifax,False
TXN-004975,C-0448,M-0084,FuelUp #84,Gas Station,443.33,2024-01-01T11:42:56,CAD,online,Montreal,False
TXN-000002,C-0393,M-0172,MediCare #172,Healthcare,462.3,2024-01-01T11:43:21,CAD,POS,Winnipeg,False
TXN-020146,C-0492,M-0153,NetShop #153,Online Shopping,448.6,2024-01-01T11:45:37,CAD,online,Winnipeg,False
TXN-039417,C-0189,M-0102,HydroPower #102,Utilities,358.79,2024-01-01T11:46:16,CAD,POS,Hamilton,False
TXN-012400,C-0041,M-0171,TravelEase #171,Travel,63.18,2024-01-01T11:46:44,CAD,online,Edmonton,False
TXN-023081,C-0459,M-0080,ElectroZone #80,Electronics,495.41,2024-01-01T11:46:50,CAD,online,Edmonton,False
TXN-021030,C-0300,M-0011,NetShop #11,Online Shopping,39.01,2024-01-01T11:48:35,CAD,POS,Montreal,False
TXN-043283,C-0249,M-0102,HydroPower #102,Utilities,295.61,2024-01-01T11:48:49,CAD,POS,Hamilton,False
TXN-048496,C-0343,M-0133,SuperSave #133,Grocery,149.03,2024-01-01T11:52:49,CAD,POS,Toronto,False
TXN-040019,C-0321,M-0170,Burger Hub #170,Restaurant,179.37,2024-01-01T11:53:33,CAD,POS,Toronto,False
TXN-029087,C-0109,M-0063,ElectroZone #63,Electronics,347.62,2024-01-01T11:54:34,CAD,online,Vancouver,False
TXN-005263,C-0455,M-0043,MediCare #43,Healthcare,271.21,2024-01-01T11:54:35,CAD,online,Calgary,False
TXN-018811,C-0358,M-0141,FuelUp #141,Gas Station,617.04,2024-01-01T11:54:38,CAD,online,Winnipeg,False
TXN-021154,C-0041,M-0160,ChicBoutique #160,Clothing,70.39,2024-01-01T11:57:05,CAD,online,Ottawa,False
TXN-014444,C-0489,M-0198,WellClinic #198,Healthcare,563.48,2024-01-01T11:59:35,CAD,POS,Winnipeg,False
TXN-030465,C-0263,M-0197,NetShop #197,Online Shopping,174.35,2024-01-01T12:00:04,CAD,online,Ottawa,False
TXN-036472,C-0299,M-0151,Cafe Latte #151,Restaurant,140.18,2024-01-01T12:01:08,CAD,POS,Ottawa,False
TXN-025600,C-0373,M-0106,CareFirst #106,Healthcare,277.68,2024-01-01T12:02:11,CAD,online,Montreal,False
TXN-047661,C-0419,M-0173,CareFirst #173,Healthcare,82.36,2024-01-01T12:02:24,CAD,ATM,Hamilton,False
TXN-043750,C-0061,M-0112,StreamFlix #112,Entertainment,265.33,2024-01-01T12:02:36,CAD,POS,Halifax,False
TXN-016551,C-0257,M-0118,GadgetWorld #118,Electronics,179.47,2024-01-01T12:04:12,CAD,ATM,Ottawa,False
TXN-002701,C-0497,M-0125,BookTrip #125,Travel,53.32,2024-01-01T12:06:57,CAD,POS,Edmonton,False
TXN-042975,C-0135,M-0039,TravelEase #39,Travel,194.87,2024-01-01T12:07:17,CAD,ATM,Halifax,False
TXN-028161,C-0035,M-0092,WaterWorks #92,Utilities,423.64,2024-01-01T12:08:19,CAD,POS,Calgary,False
TXN-012272,C-0458,M-0122,PowerGrid #122,Utilities,342.41,2024-01-01T12:10:43,CAD,POS,Edmonton,False
TXN-012087,C-0394,M-0083,GasLine #83,Utilities,277.48,2024-01-01T12:11:14,CAD,online,Quebec City,False
TXN-013660,C-0343,M-0049,FashionFit #49,Clothing,54.41,2024-01-01T12:13:27,CAD,ATM,Montreal,False
TXN-038523,C-0379,M-0111,EnergyStop #111,Gas Station,321.63,2024-01-01T12:13:45,CAD,POS,Ottawa,False
TXN-044491,C-0224,M-0117,GasMax #117,Gas Station,70.32,2024-01-01T12:15:28,CAD,POS,Vancouver,False
TXN-025653,C-0199,M-0147,TelcoNet #147,Utilities,284.45,2024-01-01T12:16:28,CAD,POS,Quebec City,False
TXN-019966,C-0322,M-0122,PowerGrid #122,Utilities,396.86,2024-01-01T12:17:01,CAD,online,Vancouver,False
TXN-003068,C-0314,M-0037,HealthPlus #37,Healthcare,501.66,2024-01-01T12:17:12,CAD,POS,Halifax,False
TXN-032397,C-0004,M-0098,ChicBoutique #98,Clothing,262.15,2024-01-01T12:17:42,CAD,POS,Ottawa,False
TXN-028575,C-0327,M-0043,MediCare #43,Healthcare,0.5,2024-01-01T12:17:44,CAD,online,Halifax,False
TXN-003801,C-0168,M-0082,EnergyStop #82,Gas Station,614.58,2024-01-01T12:18:08,CAD,POS,Toronto,False
TXN-027645,C-0168,M-0019,GameZone #19,Entertainment,595.21,2024-01-01T12:19:46,CAD,POS,Ottawa,False
TXN-040886,C-0278,M-0072,FoodLand #72,Grocery,619.94,2024-01-01T12:19:46,CAD,POS,Calgary,False
TXN-047863,C-0382,M-0054,PowerGrid #54,Utilities,68.18,2024-01-01T12:19:59,CAD,online,Montreal,False
TXN-030851,C-0407,M-0116,TechByte #116,Electronics,376.54,2024-01-01T12:20:03,CAD,online,Toronto,False
TXN-004245,C-0307,M-0127,Sushi Zen #127,Restaurant,301.13,2024-01-01T12:20:06,CAD,POS,Montreal,False
TXN-004395,C-0087,M-0126,Golden Wok #126,Restaurant,441.14,2024-01-01T12:20:07,CAD,online,Winnipeg,False
TXN-041354,C-0197,M-0189,ChicBoutique #189,Clothing,271.19,2024-01-01T12:20:26,CAD,online,Halifax,False
TXN-022584,C-0216,M-0116,TechByte #116,Electronics,267.5,2024-01-01T12:21:06,CAD,online,Hamilton,False
TXN-029118,C-0204,M-0150,WellClinic #150,Healthcare,238.35,2024-01-01T12:24:12,CAD,POS,Calgary,False
TXN-016740,C-0256,M-0114,EnergyStop #114,Gas Station,639.11,2024-01-01T12:24:16,CAD,POS,Winnipeg,False
TXN-002268,C-0196,M-0029,PowerGrid #29,Utilities,211.32,2024-01-01T12:26:01,CAD,POS,Montreal,False
TXN-040641,C-0114,M-0123,eStore #123,Online Shopping,16.92,2024-01-01T12:26:11,CAD,POS,Hamilton,False
TXN-002451,C-0068,M-0046,JetSet #46,Travel,319.86,2024-01-01T12:26:20,CAD,POS,Hamilton,False
TXN-007555,C-0277,M-0019,GameZone #19,Entertainment,100.38,2024-01-01T12:26:42,CAD,POS,Calgary,False
TXN-017066,C-0416,M-0168,PowerGrid #168,Utilities,36.96,2024-01-01T12:27:10,CAD,POS,Vancouver,False
TXN-036888,C-0266,M-0125,BookTrip #125,Travel,484.37,2024-01-01T12:30:31,CAD,POS,Quebec City,False
TXN-033304,C-0080,M-0121,SuperSave #121,Grocery,532.82,2024-01-01T12:31:36,CAD,online,Quebec City,False
TXN-018920,C-0324,M-0193,WebMart #193,Online Shopping,182.52,2024-01-01T12:31:58,CAD,POS,Calgary,False
TXN-011007,C-0159,M-0021,Metro Plus #21,Grocery,226.08,2024-01-01T12:32:09,CAD,online,Calgary,False
TXN-042358,C-0214,M-0098,ChicBoutique #98,Clothing,77.88,2024-01-01T12:33:14,CAD,ATM,Hamilton,False
TXN-006329,C-0220,M-0120,JetSet #120,Travel,375.84,2024-01-01T12:35:09,CAD,ATM,Quebec City,False
TXN-025427,C-0026,M-0048,CareFirst #48,Healthcare,60.29,2024-01-01T12:35:15,CAD,POS,Winnipeg,False
TXN-031365,C-0453,M-0090,Pasta Palace #90,Restaurant,327.91,2024-01-01T12:35:42,CAD,POS,Vancouver,False
TXN-002414,C-0439,M-0050,HealthPlus #50,Healthcare,94.65,2024-01-01T12:36:11,CAD,POS,Toronto,False
TXN-019894,C-0116,M-0155,GadgetWorld #155,Electronics,42.34,2024-01-01T12:37:45,CAD,online,Montreal,False
TXN-005088,C-0043,M-0078,FlyAway #78,Travel,602.25,2024-01-01T12:38:06,CAD,online,Winnipeg,False
TXN-032994,C-0477,M-0048,CareFirst #48,Healthcare,104.03,2024-01-01T12:39:22,CAD,POS,Quebec City,False
TXN-022934,C-0115,M-0156,SuperSave #156,Grocery,234.11,2024-01-01T12:41:24,CAD,POS,Montreal,False
TXN-021548,C-0103,M-0117,GasMax #117,Gas Station,417.96,2024-01-01T12:41:35,CAD,online,Calgary,False
TXN-003148,C-0336,M-0117,GasMax #117,Gas Station,89.06,2024-01-01T12:46:56,CAD,ATM,Edmonton,False
TXN-031180,C-0162,M-0093,TelcoNet #93,Utilities,351.22,2024-01-01T12:50:31,CAD,ATM,Edmonton,False
TXN-013014,C-0122,M-0070,ShopNow #70,Online Shopping,318.42,2024-01-01T12:51:16,CAD,online,Ottawa,False
TXN-013036,C-0027,M-0021,Metro Plus #21,Grocery,480.64,2024-01-01T12:52:06,CAD,POS,Toronto,False
TXN-039378,C-0006,M-0059,GadgetWorld #59,Electronics,670.9,2024-01-01T12:53:18,CAD,online,Hamilton,False
TXN-037055,C-0327,M-0194,ShopNow #194,Online Shopping,229.16,2024-01-01T12:54:33,CAD,POS,Hamilton,False
TXN-043798,C-0233,M-0040,GameZone #40,Entertainment,144.47,2024-01-01T12:54:36,CAD,POS,Ottawa,False
TXN-028126,C-0169,M-0015,Metro Plus #15,Grocery,104.63,2024-01-01T12:54:41,CAD,online,Montreal,False
TXN-023448,C-0218,M-0190,PowerGrid #190,Utilities,346.91,2024-01-01T12:55:15,CAD,POS,Edmonton,False
TXN-047006,C-0044,M-0022,FreshMart #22,Grocery,185.26,2024-01-01T12:55:23,CAD,ATM,Toronto,False
TXN-013886,C-0350,M-0047,PetroGo #47,Gas Station,325.41,2024-01-01T12:55:26,CAD,online,Quebec City,False
TXN-038437,C-0378,M-0198,WellClinic #198,Healthcare,0.5,2024-01-01T12:57:06,CAD,POS,Toronto,False
TXN-013145,C-0245,M-0177,WanderLux #177,Travel,537.53,2024-01-01T13:01:37,CAD,POS,Edmonton,False
TXN-028083,C-0372,M-0061,FashionFit #61,Clothing,137.96,2024-01-01T13:05:07,CAD,online,Edmonton,False
TXN-007194,C-0352,M-0099,ElectroZone #99,Electronics,66.26,2024-01-01T13:06:35,CAD,POS,Winnipeg,False
TXN-047865,C-0023,M-0139,WaterWorks #139,Utilities,127.1,2024-01-01T13:07:26,CAD,ATM,Halifax,False
TXN-025598,C-0349,M-0175,TelcoNet #175,Utilities,351.63,2024-01-01T13:08:09,CAD,ATM,Toronto,False
TXN-044912,C-0091,M-0137,Metro Plus #137,Grocery,423.27,2024-01-01T13:08:53,CAD,POS,Ottawa,False
TXN-041772,C-0045,M-0038,GreenGrocer #38,Grocery,153.97,2024-01-01T13:09:46,CAD,online,Vancouver,False
TXN-012686,C-0331,M-0071,FuelUp #71,Gas Station,203.56,2024-01-01T13:11:13,CAD,POS,Halifax,False
TXN-039484,C-0117,M-0111,EnergyStop #111,Gas Station,108.84,2024-01-01T13:11:48,CAD,online,Hamilton,False
TXN-023459,C-0302,M-0009,BookTrip #9,Travel,112.26,2024-01-01T13:12:59,CAD,POS,Edmonton,False
TXN-021804,C-0286,M-0142,FoodLand #142,Grocery,46.6,2024-01-01T13:13:00,CAD,online,Montreal,False
TXN-028605,C-0481,M-0052,PharmaSave #52,Healthcare,146.45,2024-01-01T13:13:23,CAD,online,Vancouver,False
TXN-014800,C-0008,M-0070,ShopNow #70,Online Shopping,166.81,2024-01-01T13:13:48,CAD,online,Vancouver,False
TXN-041108,C-0073,M-0054,PowerGrid #54,Utilities,366.55,2024-01-01T13:16:59,CAD,POS,Ottawa,False
TXN-009808,C-0498,M-0019,GameZone #19,Entertainment,332.89,2024-01-01T13:17:08,CAD,POS,Vancouver,False
TXN-047519,C-0486,M-0043,MediCare #43,Healthcare,370.26,2024-01-01T13:17:27,CAD,POS,Calgary,False
TXN-003252,C-0343,M-0168,PowerGrid #168,Utilities,369.41,2024-01-01T13:19:28,CAD,online,Hamilton,False
TXN-022139,C-0291,M-0037,HealthPlus #37,Healthcare,257.67,2024-01-01T13:23:17,CAD,online,Winnipeg,False
TXN-030824,C-0021,M-0106,CareFirst #106,Healthcare,163.61,2024-01-01T13:23:37,CAD,online,Hamilton,False
TXN-038504,C-0104,M-0028,Burger Hub #28,Restaurant,127.71,2024-01-01T13:24:22,CAD,POS,Montreal,False
TXN-017068,C-0290,M-0086,Metro Plus #86,Grocery,44.49,2024-01-01T13:24:27,CAD,online,Hamilton,False
TXN-023696,C-0265,M-0110,FunPark #110,Entertainment,319.51,2024-01-01T13:28:03,CAD,POS,Toronto,False
TXN-006992,C-0143,M-0114,EnergyStop #114,Gas Station,302.38,2024-01-01T13:28:33,CAD,POS,Winnipeg,False
TXN-009439,C-0133,M-0091,PowerGrid #91,Utilities,153.14,2024-01-01T13:31:14,CAD,POS,Halifax,False
TXN-004253,C-0168,M-0019,GameZone #19,Entertainment,579.19,2024-01-01T13:31:57,CAD,ATM,Calgary,False
TXN-043393,C-0234,M-0079,TelcoNet #79,Utilities,300.28,2024-01-01T13:32:10,CAD,POS,Winnipeg,False
TXN-037306,C-0432,M-0180,StyleHub #180,Clothing,346.79,2024-01-01T13:34:56,CAD,online,Edmonton,False
TXN-040650,C-0207,M-0035,CircuitHub #35,Electronics,300.48,2024-01-01T13:36:37,CAD,online,Hamilton,False
TXN-025369,C-0130,M-0102,HydroPower #102,Utilities,153.82,2024-01-01T13:42:52,CAD,POS,Toronto,False
TXN-047566,C-0376,M-0012,CircuitHub #12,Electronics,116.11,2024-01-01T13:45:09,CAD,online,Vancouver,False
TXN-022884,C-0368,M-0113,FoodLand #113,Grocery,325.23,2024-01-01T13:45:37,CAD,online,Hamilton,False
TXN-041554,C-0354,M-0075,FashionFit #75,Clothing,172.18,2024-01-01T13:46:07,CAD,POS,Winnipeg,False
TXN-037731,C-0371,M-0083,GasLine #83,Utilities,167.61,2024-01-01T13:46:27,CAD,POS,Calgary,False
TXN-007943,C-0474,M-0159,PetroGo #159,Gas Station,437.05,2024-01-01T13:46:35,CAD,POS,Toronto,False
TXN-030772,C-0158,M-0048,CareFirst #48,Healthcare,213.66,2024-01-01T13:46:52,CAD,POS,Winnipeg,False
TXN-039649,C-0120,M-0154,StreamFlix #154,Entertainment,681.43,2024-01-01T13:46:53,CAD,POS,Halifax,False
TXN-020636,C-0278,M-0180,StyleHub #180,Clothing,684.85,2024-01-01T13:49:48,CAD,POS,Halifax,False
TXN-002172,C-0055,M-0117,GasMax #117,Gas Station,520.01,2024-01-01T13:51:18,CAD,POS,Toronto,False
TXN-012340,C-0151,M-0062,FlyAway #62,Travel,120.27,2024-01-01T14:01:46,CAD,POS,Quebec City,False
TXN-047937,C-0145,M-0065,BookTrip #65,Travel,41.2,2024-01-01T14:02:37,CAD,online,Ottawa,False
TXN-003866,C-0050,M-0070,ShopNow #70,Online Shopping,80.96,2024-01-01T14:02:58,CAD,ATM,Halifax,False
TXN-013164,C-0279,M-0163,Sushi Zen #163,Restaurant,51.44,2024-01-01T14:05:31,CAD,POS,Winnipeg,False
TXN-005225,C-0459,M-0100,FoodLand #100,Grocery,301.04,2024-01-01T14:06:18,USD,POS,Singapore,True
TXN-004544,C-0246,M-0090,Pasta Palace #90,Restaurant,245.88,2024-01-01T14:07:09,CAD,POS,Halifax,False
TXN-003944,C-0084,M-0004,FashionFit #4,Clothing,163.62,2024-01-01T14:07:53,CAD,POS,Edmonton,False
